seed_name,seed_smiles_used,smiles,dock_3fap,dock_7pqv,dock_sum,reward,r_dock,qed,sa,lip_viol,is_novel,depth,iter_idx,elapsed_sec
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(=O)(=O)NC,-7.7,-7.4,-15.1,-0.041284005,-0.203222153,0.8190031229719267,2,0,1,25,1,6.138
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1Br,-7.4,-6.5,-13.9,-0.1005004,-0.267337848,0.7973992725115262,2,0,1,25,1,6.173
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1OC,-7.1,-6.5,-13.6,-0.112555819,-0.279918562,0.7869310292130753,2,0,1,25,1,6.211
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(=O)(=O)n1ccccc1=O,-8.7,-8,-16.7,0.03833870195460441,-0.108723726,0.8394497707574458,2.8,0,1,25,2,38.737
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C(=O)[O-],-7.6,-7,-14.6,-0.066997094,-0.231673949,0.8174820853348242,2,0,1,25,2,38.764
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CCCC1,-7.7,-7.2,-14.9,-0.052739005,-0.215375749,0.8116207801921386,2,0,1,25,2,38.782
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CCCCC1,-8.4,-7.6,-16,0.0007927449164778777,-0.154819888,0.7977847167734655,2,0,1,25,2,38.797
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CCOCC1,-7.8,-7.5,-15.3,-0.028837313,-0.191999394,0.8525203871659213,2,0,1,26,3,44.5
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NS(C)(=O)=O,-7.5,-7.6,-15.1,-0.040190475,-0.201948326,0.8182472139054348,2,0,1,26,3,44.543
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(C)=O,-7.6,-7.3,-14.9,-0.052364405,-0.214156498,0.8012961223726964,2,0,1,27,4,69.848
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)N1CCCCC1,-8.7,-8.2,-16.9,0.050586756548337136,-0.092580485,0.7823762214519832,2.6,0,1,27,4,69.89
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC,-7,-6.6,-13.6,-0.113874792,-0.279246961,0.7594536964960941,2,0,1,27,4,69.907
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)C(C)C,-7.7,-7.2,-14.9,-0.054539024,-0.215375749,0.7859062216846178,2,0,1,28,5,88.151
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(C)C,-7.4,-6.9,-14.3,-0.085002171,-0.24627946,0.748051831809285,2,0,1,28,5,88.18
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(N)=O,-7.8,-7.4,-15.2,-0.043758749,-0.198326988,0.720711788058197,2,0,1,28,5,88.225
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)C1CC1,-8,-7.4,-15.4,-0.029713369,-0.188498144,0.7949892352482717,2,0,1,29,6,91.443
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)Cc1ccccc1,-9.1,-8.5,-17.6,0.09123673366476612,-0.041872279,0.7356173290636147,2.8,0,1,29,6,91.463
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)c1cnn(C)c1,-8.3,-8.1,-16.4,0.025728086390381367,-0.123527703,0.8251451723061652,2.6,0,1,29,6,91.48
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1I,-7.3,-6.7,-14,-0.105878711,-0.261316952,0.6431547433352867,2,0,1,26,8,98.783
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(N)(=O)=O,-7.6,-7.2,-14.8,-0.055831166,-0.220098761,0.8281714865691336,2,0,1,25,9,104.666
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CCN(C)CC1,-8.2,-7.5,-15.7,-0.012199833,-0.171937247,0.8567465734196893,2.2,0,1,26,10,110.309
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N(C)C(C)=O,-7.6,-7.2,-14.8,-0.054909061,-0.220098761,0.841344416927733,2,0,1,26,10,110.356
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N(C)C,-7.1,-6.9,-14,-0.093347718,-0.259702347,0.8014097201871921,2,0,1,26,10,110.387
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)N1CCCC1,-8.7,-8.1,-16.8,0.04684280260637824,-0.100734428,0.8092377897087137,2.4,0,1,27,11,113.952
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NCC(=O)[O-],-7.2,-7.3,-14.5,-0.072402008,-0.234228379,0.7731116938078886,2,0,1,27,11,114.003
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C(=O)NC(C)C,-8.2,-7.4,-15.6,-0.02027932,-0.178603674,0.8025467512830321,2,0,1,25,12,118.461
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C#N,-7.3,-6.7,-14,-0.095675791,-0.261316952,0.7889107343785029,2,0,1,25,12,118.494
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C(N)=O,-7.8,-7.2,-15,-0.049834707,-0.210642808,0.7922586526252884,2,0,1,25,13,123.367
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(C)(=O)=O,-7.6,-7.1,-14.7,-0.059073324,-0.225936992,0.8569179272324915,2,0,1,25,15,136.322
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(=O)(=O)c1ccccc1,-8.6,-8.3,-16.9,0.05474325136557967,-0.090218772,0.8113898402985664,2.6,0,1,25,18,154.157
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C(=O)Nc1nccs1,-8.2,-6.5,-14.7,-0.073416018,-0.23346186,0.7977501844628768,2.4,0,1,25,19,159
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1-n1cccn1,-8,-7.5,-15.5,-0.02044466,-0.182001614,0.8438725468486085,2,0,1,25,20,166.387
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1[N-]S(C)(=O)=O,-7.5,-7.4,-14.9,-0.048673718,-0.212984708,0.8389543581545164,2,0,1,25,22,189.445
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(=O)(=O)N1CCCCC1,-8.8,-8.3,-17.1,0.06641077656964235,-0.078255059,0.824249608689905,2.6,0,1,25,22,189.464
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1O[C@H]1CC(=O)NCC1,-8,-8.3,-16.3,0.020210049436472005,-0.131110044,0.8193135196355055,2.4,0,1,25,22,189.476
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(=O)(=O)N(C)C,-7.7,-7.3,-15,-0.044591959,-0.209353437,0.8505774293710856,2,0,1,25,23,197.46
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1S(=O)(=O)N1CCCC1,-8.4,-7.9,-16.3,0.01993338259473529,-0.133090427,0.8408232061519693,2.4,0,1,25,25,224.702
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)N(C)C,-7.9,-7.3,-15.2,-0.037874331,-0.199715375,0.8226255973199889,2,0,1,26,33,312.008
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N(C)C(=O)C(C)C,-7.9,-7.1,-15,-0.05106671,-0.211970452,0.8162181170229612,2.2,0,1,26,33,312.113
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CC[NH+](C)CC1,-7.9,-7.8,-15.7,-0.009704521,-0.167040212,0.8294320218758772,2.2,0,1,25,35,324.974
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C(=O)NC1(C#N)CCC1,-8.2,-7.9,-16.1,0.006125895037411816,-0.143971354,0.8079608117658531,2.6,0,1,25,37,360.782
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1NC(=O)c1ccco1,-8.5,-7.8,-16.3,0.014711409898115549,-0.135089936,0.7919315637576657,2.4,0,1,25,39,374.535
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CC(C(N)=O)CC1,-8.5,-8.3,-16.8,0.051859422228304974,-0.096144325,0.8218881681560913,2.4,0,1,25,43,423.449
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1C(=O)N1CCCC1,-8.2,-7.7,-15.9,-0.000321192,-0.158221908,0.850101375181212,2.2,0,1,25,46,440.277
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1-c1cccnc1,-8.7,-7.8,-16.5,0.028834558349004093,-0.124228105,0.805059126973285,2,0,1,25,51,475.712
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1-n1ccnc1,-7.7,-7.6,-15.3,-0.028201553,-0.190620384,0.8438725468486085,2,0,1,25,52,484.263
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1O[C@@H](C)CO,-7.1,-7.2,-14.3,-0.081403451,-0.24445695,0.7760298482407594,2,0,1,25,54,508.292
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1-c1ccncc1,-8.6,-7.8,-16.4,0.0239321930179082,-0.129675178,0.805059126973285,2,0,1,25,55,517.395
seed_fragment_1,C=C(F)C(F)=C(C)Nc1ccccc1,C=C(F)C(F)=C(C)Nc1ccccc1N1CCS(=O)CC1,-8,-7.7,-15.7,-0.008622666,-0.16863955,0.8654500049899584,2.2,0,1,26,56,538.067
