smiles,dock_3fap,dock_7pqv,dock_combined,depth,used_time,mol,is_valid,canon_smiles,is_novel_moses,QED,logP,MW,HBD,HBA,RotB,TPSA,Lipinski_violations,Lipinski_pass,SA_score
COc1ccc([C@@H]2C[C@@H]2CNC(=O)c2ccc(-n3ccnc3)cc2)cc1,-9.307,-8.323,-17.63,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870930>,TRUE,COc1ccc([C@@H]2C[C@@H]2CNC(=O)c2ccc(-n3ccnc3)cc2)cc1,TRUE,0.7433130499375494,3.414400000000001,347.418,1,4,6,56.15,0,TRUE,2.85883017413623
Fc1ccc(Cc2noc(CCNc3ccccn3)n2)cc1,-8.492,-8.606,-17.098,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870BD0>,TRUE,Fc1ccc(Cc2noc(CCNc3ccccn3)n2)cc1,TRUE,0.7578385089136562,2.849100000000001,298.321,1,5,6,63.84,0,TRUE,2.146603593873147
[NH3+]C[C@@]1([C@H]2CSC(c3ccccc3)C2)CCCOC1,-8.38,-8.025,-16.405,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870B10>,TRUE,[NH3+]C[C@@]1([C@H]2CSC(c3ccccc3)C2)CCCOC1,TRUE,0.92218078928804,2.5195000000000007,278.44100000000003,1,2,3,36.870000000000005,0,TRUE,4.401206184264333
COc1ccc([C@H](NC(=O)c2nnnn2-c2ccccc2)[C@@H]2CCCc3ccccc32)cc1,-10.881,-10.074,-20.955,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870C30>,TRUE,COc1ccc([C@H](NC(=O)c2nnnn2-c2ccccc2)[C@@H]2CCCc3ccccc32)cc1,TRUE,0.4854102411860294,4.262100000000004,439.5190000000002,1,6,6,81.93,0,TRUE,3.1909634171193977
O=C(NC[C@@H](O)c1ccccn1)N1CCC(N2CCOCC2)CC1,-8.488,-8.035,-16.523,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870E70>,TRUE,O=C(NC[C@@H](O)c1ccccn1)N1CCC(N2CCOCC2)CC1,TRUE,0.844038739933234,0.6212,334.4200000000002,2,5,4,77.92999999999999,0,TRUE,2.847627523261025
N#Cc1cccc(-c2ccc(NC(=O)CCC3OCCO3)cc2)c1,-9.962,-8.504,-18.466,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870ED0>,TRUE,N#Cc1cccc(-c2ccc(NC(=O)CCC3OCCO3)cc2)c1,TRUE,0.9164305604507372,3.316880000000001,322.364,1,4,5,71.35000000000001,0,TRUE,2.220824012781227
[NH3+][C@H](C1(Cn2cc[nH+]c2C#N)CC1)c1ccc(F)cc1F,-7.286,-7.38,-14.666,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870F30>,TRUE,N#Cc1[nH+]ccn1CC1([C@@H]([NH3+])c2ccc(F)cc2F)CC1,TRUE,0.90319609791206,1.2154800000000006,290.31699999999995,1,2,4,70.5,0,TRUE,4.8151456303435705
CO[C@]1(C)C[C@@H](NC(=O)C(=O)NCc2ccccc2F)C1(C)C,-8.472,-7.69,-16.162,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED870F90>,TRUE,CO[C@]1(C)C[C@@H](NC(=O)C(=O)NCc2ccccc2F)C1(C)C,TRUE,0.8302370680616574,1.7617000000000005,322.38000000000005,2,3,4,67.42999999999999,0,TRUE,3.4374597733052763
N#CCCN(CCc1cccnc1)C[C@@H](c1ccccc1)N(C)C,-7.81,-7.461,-15.271,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887030>,TRUE,CN(C)[C@@H](CN(CCC#N)CCc1cccnc1)c1ccccc1,TRUE,0.7111965130335514,3.142680000000002,322.4560000000001,0,4,9,43.16,0,TRUE,2.848657614039812
Fc1ccc(CNc2nccc(CNc3ncccn3)c2)cc1,-9.411,-9.044,-18.455,1,447.589,<rdkit.Chem.rdchem.Mol object at 0x000002C8ED887090>,TRUE,Fc1ccc(CNc2cc(CNc3ncccn3)ccn2)cc1,TRUE,0.731727913303255,3.234900000000001,309.34800000000007,2,5,6,62.73,0,TRUE,2.100805610077906
